hsa04514,hsa00430,hsa00563,hsa04810,hsa04710,hsa04722,hsa00250,hsa00983,hsa05414,hsa04310,hsa00051,hsa04621,hsa04140,hsa00072,hsa00601,hsa05412,hsa05110,hsa00290,hsa04920,hsa04742,hsa04512,hsa00240,hsa04623,hsa05010,hsa04622,hsa04142,hsa00010,hsa05100,hsa05020,hsa05012,hsa04012,hsa04520,hsa00450,hsa00030,hsa05223,hsa00640,hsa04972,hsa05145,hsa04330,hsa05146,hsa04020,hsa00790,hsa00600,hsa05330,hsa04510,hsa00750,hsa04130,hsa04976,hsa05014,hsa04141,hsa04916,hsa00052,hsa00534,hsa00670,hsa00650,hsa05410,hsa00340,hsa00053,hsa05221,hsa04530,hsa04320,hsa00310,hsa00564,hsa00592,hsa00920,hsa00120,hsa00460,hsa05210,hsa05150,hsa00020,hsa04914,hsa00562,hsa05212,hsa04660,hsa04370,hsa00500,hsa04973,hsa00512,hsa00280,hsa03015,hsa00900,hsa05416,hsa00350,hsa00040,hsa00480,hsa04260,hsa04144,hsa05217,hsa04971,hsa04270,hsa00360,hsa04612,hsa04145,hsa04650,hsa04340,hsa04630,hsa05222,hsa05320,hsa00330,hsa04380,hsa04060,hsa04910,hsa00230,hsa05144,hsa00590,hsa03018,hsa00400,hsa00410,hsa04950,hsa05216,hsa00270,hsa00970,hsa04122,hsa04670,hsa04970,hsa03320,hsa00910,hsa04062,hsa04610,hsa05220,hsa04960,hsa00232,hsa05215,hsa05016,hsa04666,hsa05214,hsa05218,hsa04962,hsa00520,hsa00260,hsa05200,hsa00532,hsa05211,hsa05160,hsa05130,hsa04930,hsa05213,hsa00140,hsa00770,hsa04010,hsa04114,hsa04662,hsa00760,hsa01040,hsa05142,hsa00062,hsa04912,hsa00061,hsa04115,hsa04350,hsa00603,hsa00561,hsa04740,hsa05219,hsa00630,hsa00604,hsa04720,hsa03013,hsa05140,hsa04210,hsa04672,hsa00980,hsa00510,hsa00071,hsa00100,hsa00591,hsa05322,hsa04730,hsa00531,hsa04110,hsa04620,hsa05131,hsa04540,hsa04360,hsa04664,hsa00740,hsa04150,hsa00830,hsa00565,hsa04080,hsa04744,hsa00860,hsa00380,hsa05120,hsa00620,hsa00982
727405,,707998,732221,,731095,,,,725552,,,,,709046,,,,,,727138,703429,,,,,,,,,720503,727581,,,,,,,,,720876,,,,726934,,,,,723735,,,,,,,,,,727816,,,,,,701919,,,,,,,,729780,,,,706843,704077,718713,,,705060,,,,,,,725240,,,,729547,,,,,704686,,721221,732485,703048,,708557,718882,,,,,,,,,,719507,,721617,728209,,,,,,730276,738876,,,707220,,737998,,,,,,,702240,,720194,722939,,,,,,,701146,723089,,,,,,,709408,,718573,,724879,,,706487,701517,,,,,707360,722689,728545,,728013,726203,,,,710869,,722475,,,705420,,,712191
727376,,707979,732248,,731121,,,,725522,,,,,709197,,,,,,727099,703421,,,,,,,,,720570,727568,,,,,,,,,720846,,,,726954,,,,,723749,,,,,,,,,,727806,,,,,,,,,,,,,,729787,,,,706849,704090,718759,,,705044,,,,,,,725267,,,,729518,,,,,704670,,721217,732489,703002,,708584,718906,,,,,,,,,,719512,,721666,728188,,,,,,730290,738818,,,707229,,738064,,,,,,,702294,,720267,722924,,,,,,,701128,723085,,,,,,,709463,,718578,,724865,,,706560,701539,,,,,707375,722712,728531,,728009,726201,,,,710814,,722472,,,705411,,,712138
727431,,708048,732209,,731085,,,,725511,,,,,709238,,,,,,727109,703399,,,,,,,,,720554,727593,,,,,,,,,720875,,,,726979,,,,,723753,,,,,,,,,,727853,,,,,,,,,,,,,,729754,,,,706782,704039,718710,,,705036,,,,,,,725253,,,,729491,,,,,704703,,721266,732475,703098,,708578,718914,,,,,,,,,,719482,,721639,728160,,,,,,730313,738843,,,707217,,738088,,,,,,,702268,,720218,722927,,,,,,,701265,723074,,,,,,,709447,,718563,,724897,,,706529,701560,,,,,707405,722734,728505,,728002,726225,,,,710855,,722422,,,,,,712147
727393,,708011,732261,,731036,,,,725564,,,,,709157,,,,,,727124,703407,,,,,,,,,720490,727598,,,,,,,,,720849,,,,726925,,,,,723776,,,,,,,,,,727850,,,,,,,,,,,,,,729762,,,,706804,704028,718728,,,705014,,,,,,,725238,,,,729532,,,,,,,721344,732479,703088,,708546,718897,,,,,,,,,,719504,,721610,728150,,,,,,730267,738837,,,707216,,738077,,,,,,,702333,,720352,722940,,,,,,,701254,723094,,,,,,,709415,,718577,,724864,,,706553,701642,,,,,707361,722735,728571,,728022,726199,,,,710812,,722467,,,,,,712140
727357,,708049,732225,,731092,,,,725576,,,,,709080,,,,,,727101,703413,,,,,,,,,720507,727572,,,,,,,,,720885,,,,726917,,,,,723750,,,,,,,,,,727848,,,,,,,,,,,,,,729777,,,,706731,704036,718734,,,705058,,,,,,,725239,,,,729487,,,,,,,721342,732505,703074,,708571,718869,,,,,,,,,,719521,,721646,728153,,,,,,,738844,,,707231,,738007,,,,,,,702327,,720347,722944,,,,,,,701216,723100,,,,,,,709448,,718560,,724878,,,706566,701624,,,,,707353,722754,728565,,,726228,,,,710817,,722432,,,,,,712162
727402,,708029,732207,,731131,,,,725544,,,,,709259,,,,,,727139,703389,,,,,,,,,720492,727610,,,,,,,,,720867,,,,726911,,,,,723794,,,,,,,,,,727832,,,,,,,,,,,,,,729767,,,,706789,704025,718720,,,705031,,,,,,,725277,,,,729469,,,,,,,721231,732487,703043,,708560,718886,,,,,,,,,,719535,,721627,728182,,,,,,,738838,,,707230,,738055,,,,,,,702257,,720196,722934,,,,,,,701207,723096,,,,,,,709403,,718584,,724904,,,706533,701649,,,,,707402,722686,728589,,,726204,,,,710846,,722454,,,,,,712142
727329,,708017,732224,,731089,,,,725569,,,,,709273,,,,,,727098,703430,,,,,,,,,720549,727602,,,,,,,,,,,,,726936,,,,,723746,,,,,,,,,,727851,,,,,,,,,,,,,,729763,,,,706801,704042,718750,,,705053,,,,,,,725274,,,,729535,,,,,,,721311,732514,702983,,708583,,,,,,,,,,,719499,,721657,728205,,,,,,,738864,,,707185,,738094,,,,,,,702271,,720228,,,,,,,,701248,723087,,,,,,,709409,,718551,,724872,,,706493,701558,,,,,707398,722736,728538,,,726194,,,,710870,,722470,,,,,,712150
727330,,707991,732244,,731023,,,,725509,,,,,709222,,,,,,727125,703362,,,,,,,,,720547,727549,,,,,,,,,,,,,726959,,,,,723742,,,,,,,,,,727852,,,,,,,,,,,,,,729744,,,,706754,704069,718735,,,705039,,,,,,,725246,,,,729514,,,,,,,721291,732483,703029,,708572,,,,,,,,,,,719510,,721632,728185,,,,,,,738877,,,707180,,737992,,,,,,,702242,,720323,,,,,,,,701126,723076,,,,,,,709451,,718562,,,,,706456,701582,,,,,707376,722760,728576,,,726187,,,,710850,,722417,,,,,,712110
727423,,708010,732247,,731102,,,,725512,,,,,709064,,,,,,727133,703392,,,,,,,,,720536,727603,,,,,,,,,,,,,726948,,,,,723762,,,,,,,,,,727849,,,,,,,,,,,,,,729778,,,,706819,704054,718725,,,705045,,,,,,,725261,,,,729486,,,,,,,721272,732527,703110,,708540,,,,,,,,,,,719487,,,728167,,,,,,,738812,,,707200,,738190,,,,,,,702251,,720255,,,,,,,,701200,723112,,,,,,,709470,,718568,,,,,706559,701650,,,,,707396,722699,728537,,,726195,,,,710818,,722461,,,,,,712160
727344,,708002,732211,,731099,,,,725532,,,,,709087,,,,,,727147,703426,,,,,,,,,720508,727551,,,,,,,,,,,,,726989,,,,,723763,,,,,,,,,,727804,,,,,,,,,,,,,,729752,,,,706845,704033,718726,,,705062,,,,,,,725232,,,,729489,,,,,,,721293,732509,703040,,708585,,,,,,,,,,,719484,,,728178,,,,,,,738841,,,707186,,738023,,,,,,,702318,,720321,,,,,,,,701267,723104,,,,,,,709450,,718601,,,,,706589,701575,,,,,707403,722725,728547,,,726226,,,,710811,,722471,,,,,,712159
