,node.id,symbol
296,731819,GNAT1
297,704716,AMDHD1
298,733418,HNF4A
299,727750,NRAS
300,737676,STAT1
301,706132,HK2
302,736403,TLR4
303,715378,ENPP7
304,729428,KLRK1
305,719696,POLD3
306,735174,UBE2G1
307,710994,UGT2B4
308,733275,CACNA1G
309,719758,RPA2
310,714891,ALDH1B1
311,715585,GCNT4
312,737240,SELP
313,734877,ATP5G3
314,737095,COL1A1
315,737131,SERPINB3
316,738978,GSK3B
317,709803,ALDH6A1
318,736503,PIK3CA
319,715096,NDUFB5
320,702150,CYP11A1
321,726746,PRKCG
322,727679,LLGL1
323,723985,NEDD4
324,711856,AKR1C3
325,726323,PRKCB
326,700376,G6PD
327,727198,CNTNAP1
328,711819,ADH7
329,732382,RPS6KB1
330,735372,UQCRB
331,720993,IFNA1
332,736530,PPP2R2C
333,726437,IFNAR2
334,715652,PIGO
335,736883,HSPA1B
336,721065,IL13
337,730736,PRKACG
338,737515,CASP3
339,729812,AKT1
340,735125,MT-CO1
341,721055,CSF3R
342,710314,PDXP
343,734353,ATP1B2
344,736529,PPP2R2B
345,739153,WNT10A
346,700338,GPI
347,728264,CD8A
348,727263,PDCD1LG2
349,727477,TGFBR2
350,720616,CAMK2A
351,708349,LPCAT1
352,729069,OSMR
353,711405,CA12
354,727756,AKT2
355,706885,B4GALT2
356,728247,KIR2DL2
357,733224,PIK3CB
358,704868,ADH4
359,719622,RFC1
360,721799,INPP1
361,714789,CTH
362,714765,GMPPA
363,737317,IFNA8
364,739238,FGF14
365,734842,NDUFB11
366,722391,CHRNA7
367,728756,IFNA17
368,737535,WNT9B
369,723056,SESN3
370,720948,TNFSF13B
371,718677,PABPC1L2B
372,720696,ITPR3
373,722010,GRIA1
374,703975,HSD17B10
375,706129,GBA3
376,706908,UGT1A8
377,738366,MET
378,700518,UGDH
379,729621,SOS2
380,732000,DIAPH3
381,731823,GNAT3
382,715021,CYP8B1
383,738512,STAT3
384,708348,LPCAT2
385,720734,ADRA1B
386,726556,NCF1
387,736176,MAPK10
388,725155,NPR1
389,733008,WNT10A
390,731312,PDC
391,721768,DGKD
392,710782,CYP2C8
393,733829,ATP1B4
394,723620,HSPA8
395,712298,UGT2B28
396,706224,AMY2B
397,708110,DGKH
398,715490,IDI1
399,718966,POLR3D
400,706979,HKDC1
401,725317,PLCB2
402,730769,HRAS
403,705291,AOX1
404,715370,KDSR
405,715279,CEPT1
406,723018,CD82
407,734946,TNFRSF1A
408,728978,SOS2
409,728089,KLKB1
410,732423,PIK3CD
411,732377,SHC1
412,722575,PKMYT1
413,726527,FHL2
414,723811,CTSB
415,720998,IFNA7
416,711810,ALDH3B2
417,715174,ATP5G3
418,732793,PLK1
419,732325,PHKG1
420,715381,SMPD1
421,701412,ADH1C
422,735080,NDUFS4
423,719715,RFC2
424,738541,TGFBR2
425,735433,POLR2B
426,735151,SLC25A5
427,740080,IL10
428,729015,CBL
429,700264,ACO2
430,731311,GUCY2D
431,740098,CTSG
432,730681,PRKCB
433,731481,OR10A4
434,736791,CIITA
435,738532,E2F2
436,738323,VEGFC
437,705837,GGT1
438,737907,BIRC2
439,702869,NUDT9
440,706208,GPI
441,708059,GNPAT
442,735235,MAP2K6
443,727315,CLDN1
444,724495,HLA-G
445,728649,ERBB2IP
446,730175,ARPC2
447,733138,IKBKG
448,735940,ATP6V0D1
449,702676,ADCY2
450,735473,VDAC3
451,712250,HPRT1
452,729100,IL28A
453,701034,UGT2B15
454,733478,FXYD4
455,700459,GUSB
456,719956,CACNA2D3
457,738949,CREB3L4
458,725689,JAG2
459,736662,MYD88
460,739638,ARAF
461,703754,CTH
462,712469,FADS2
463,706922,UGT2A3
464,724985,UQCRFS1
465,705246,DDC
466,739365,MAPK1
467,718829,LSM7
468,707951,PIGZ
469,715009,HSD17B7
470,731320,OR51F2
471,733832,ATP1A3
472,715927,DUT
473,738774,MDM2
474,725830,THBS4
475,719855,PLA2G2D
476,714480,FAH
477,720435,PLCG1
478,735104,UQCRB
479,734847,SDHA
480,726653,ITGA1
481,703967,ALDH1B1
482,736355,TAB2
483,729226,CD8B
484,737399,MAPK13
485,703846,LDHAL6B
486,733541,AVP
487,715448,CYP2E1
488,727235,SELE
489,733365,HLA-DPA1
490,715164,ATP5B
491,720660,GRIN2A
492,730401,MAPK12
493,721597,FOXO3
494,720048,AKT2
495,737594,ABL1
496,718605,MAGOHB
497,719421,CPT2
498,722318,TAAR2
499,707807,PLCB1
500,737647,PDGFB
501,740079,CD28
502,729345,FAS
503,700691,FBP1
504,721022,MPL
505,727282,HLA-DRB5
506,722870,ADCY9
507,726309,PIK3CG
508,732110,ITGB7
509,724541,ACOX2
510,727473,MAPK3
511,721144,TNFRSF1A
512,734120,PLA2G4B
513,706950,GALT
514,730965,ARHGDIA
515,728458,PIK3CA
516,704143,IARS2
517,736089,TUBB1
518,731469,OR1L1
519,723454,IFNA6
