O00555	       773
P78510	       773
P78511	       773
Q16290	       773
Q92690	       773
Q99790	       773
Q99791	       773
Q99792	       773
Q99793	       773
O00557	     10095
O00559	      9166
Q6IB20	      9166
Q9BS76	      9166
O00173	      6386
O00560	      6386
O43391	      6386
O00561	       818
O00562	      9600
Q6T7X3	      9600
Q8TBN3	      9600
Q9BZ73	      9600
O00563	      2512
O00566	     10199
O00567	     10528
Q9NQ05	     10528
O00568	     10244
O00570	      6656
O00571	      1654
O15536	      1654
O00574	     10663
O00575	     10663
Q9HCA5	     10663
O00584	      8635
Q5T8Q0	      8635
Q8TCU2	      8635
Q9BZ46	      8635
Q9BZ47	      8635
O00585	      6366
O00587	      4242
O43730	      4242
O00537	      1238
O00590	      1238
Q86UN9	      1238
Q96A02	      1238
O00591	      2568
O00592	      5420
O00602	      2219
Q92596	      2219
O00606	     10897
O00617	      6550
O00618	      6549
O00622	      3491
O14934	      3491
O43775	      3491
Q9BZL7	      3491
O00623	      5193
O00624	     10246
Q5TB84	     10246
O00625	      8544
Q5U0G0	      8544
O00626	      6367
O00628	      5191
O00190	      3840
O00629	      3840
O00631	      6588
O00634	      4917
O00635	     10475
O00664	      3126
O00166	      4781
O00712	      4781
Q12858	      4781
Q96J45	      4781
O00716	      1871
Q15000	      1871
Q9BZ44	      1871
O00743	      5537
O00744	      7480
O00747	      7480
Q8WZ97	      7480
O00746	      4833
O00748	      8824
Q16859	      8824
Q5MAB8	      8824
Q7Z366	      8824
Q8IUP4	      8824
Q8TCP8	      8824
O00749	      3248
O00750	      5287
O95666	      5287
Q5SW99	      5287
O00754	      4125
O15330	      4125
Q16680	      4125
Q93094	      4125
Q9BW13	      4125
O00755	      7476
Q9Y560	      7476
O00757	      8789
Q6FI53	      8789
O00762	     11065
O00763	        32
Q16852	        32
O00764	      8566
Q7Z2Y0	      8566
Q9BS02	      8566
O00767	      6319
Q16150	      6319
Q53GR9	      6319
Q5W037	      6319
Q5W038	      6319
Q6GSS4	      6319
Q96KF6	      6319
Q9BS07	      6319
Q9Y695	      6319
O02860	      3105
O02861	      3106
O02867	      3127
O02874	      3106
O02875	      3125
O02876	      3127
O02922	      3105
O02923	      3135
O02924	      3135
O02925	      3135
O02926	      3135
O02927	      3135
O02928	      3135
O02929	      3135
