hsa:1	A1BG
hsa:100129969	FAM205C
hsa:10013	HDAC6
hsa:100130086	HSFX2
hsa:100130274	CCDC166
hsa:100130301	C8orf89
hsa:100130302	SUPT20HL1
hsa:100130311	C17orf107
hsa:100130348	TMEM262
hsa:100130361	CXorf49
hsa:100130519	TMEM221
hsa:100130520	CD300H
hsa:100130613	PRR32
hsa:100130705	ATP6V1FNB
hsa:100130733	LRRC70
hsa:100130742	LRRC69
hsa:100130771	EFCAB10
hsa:100130827	SBK3
hsa:100130890	TSTD3
hsa:100130933	SMIM6
hsa:100130958	SYCE1L
hsa:100130988	SPATA48
hsa:100131017	ZNF316
hsa:100131137	BSPH1
hsa:100131187	TSTD1
hsa:100131211	NEMP2
hsa:100131244	ANKRD63
hsa:100131303	DPEP2NB
hsa:100131378	C11orf91
hsa:100131390	SP9
hsa:100131439	CD300LD
hsa:100131539	ZNF705E
hsa:100131608	PRR23D1
hsa:100131755	ARMCX4
hsa:100131801	PET100
hsa:100131827	ZNF717
hsa:100131897	INSYN2B
hsa:100131902	KRTAP25-1
hsa:100131980	ZNF705G
hsa:100132015	TEX13D
hsa:100132074	FOXO6
hsa:100132146	FAM240A
hsa:100132247	NPIPB5
hsa:100132285	KIR2DS2
hsa:100132304	FAM236B
hsa:100132386	KRTAP4-9
hsa:100132396	ZNF705B
hsa:100132399	GAGE12D
hsa:100132406	NBPF10
hsa:100132463	CLDN24
hsa:100132476	KRTAP4-7
hsa:100132565	GOLGA8F
hsa:100132911	DPH3P1
hsa:100132916	SHISAL2B
hsa:100132963	SMIM9
hsa:100132994	CXorf49B
hsa:100133053	CXorf51B
hsa:100133093	FAM25G
hsa:100133204	C9orf147
hsa:100133220	GOLGA6L3
hsa:100133251	PRR23D2
hsa:100133267	DEFB130B
hsa:100133941	CD24
hsa:100134444	KCNJ18
hsa:100134934	TEN1
hsa:100134938	UPK3BL1
hsa:100137047	JMJD7
hsa:100137049	PLA2G4B
hsa:10014	HDAC5
hsa:100141515	C17orf99
hsa:100142659	CTAGE8
hsa:100144748	KLLN
hsa:100147744	RNU7-1
hsa:10015	PDCD6IP
hsa:100151643	KRTAP20-4
hsa:100151683	RNU4ATAC
hsa:100151684	RNU6ATAC
hsa:100158262	SCARNA9L
hsa:10016	PDCD6
hsa:100169751	RNA5S1
hsa:100169753	RNA5S2
hsa:100169754	RNA5S3
hsa:100169755	RNA5S4
hsa:100169756	RNA5S5
hsa:100169757	RNA5S6
hsa:100169758	RNA5S7
hsa:100169759	RNA5S8
hsa:100169760	RNA5S9
hsa:100169761	RNA5S10
hsa:100169762	RNA5S11
hsa:100169763	RNA5S12
hsa:100169764	RNA5S13
hsa:100169765	RNA5S14
hsa:100169766	RNA5S15
hsa:100169767	RNA5S16
hsa:100169768	RNA5S17
hsa:100169851	PATE3
hsa:100169890	PEG3-AS1
hsa:100169951	SNAR-A3
hsa:100169952	SNAR-A5
hsa:100169953	SNAR-A7
hsa:100169954	SNAR-A11
hsa:100169955	SNAR-A9
hsa:100169956	SNAR-A4
hsa:100169957	SNAR-A6
hsa:100169958	SNAR-A8
hsa:100169959	SNAR-A13
hsa:10017	BCL2L10
hsa:100170216	SNAR-A10
hsa:100170217	SNAR-B2
hsa:100170218	SNAR-C2
hsa:100170219	SNAR-C4
hsa:100170220	SNAR-E
hsa:100170221	SNAR-H
hsa:100170222	SNAR-I
hsa:100170223	SNAR-C5
hsa:100170224	SNAR-B1
hsa:100170225	SNAR-C1
hsa:100170226	SNAR-C3
hsa:100170227	SNAR-D
hsa:100170228	SNAR-G2
hsa:100170229	SRRM5
hsa:100170765	ERICH4
